movieIndex,movieId
0,2
1,29
2,32
3,47
4,50
5,112
6,151
7,223
8,253
9,260
10,293
11,296
12,318
13,337
14,367
15,541
16,589
17,593
18,653
19,919
20,924
21,1009
22,1036
23,1079
24,1080
25,1089
26,1090
27,1097
28,1136
29,1193
30,1196
31,1198
32,1200
33,1201
34,1208
35,1214
36,1215
37,1217
38,1219
39,1222
40,1240
41,1243
42,1246
43,1249
44,1258
45,1259
46,1261
47,1262
48,1266
49,1278
50,1291
51,1304
52,1321
53,1333
54,1348
55,1350
56,1358
57,1370
58,1374
59,1387
60,1525
61,1584
62,1750
63,1848
64,1920
65,1967
66,1994
67,1997
68,2021
69,2100
70,2118
71,2138
72,2140
73,2143
74,2173
75,2174
76,2193
77,2194
78,2253
79,2288
80,2291
81,2542
82,2628
83,2644
84,2648
85,2664
86,2683
87,2692
88,2716
89,2761
90,2762
91,2804
92,2872
93,2918
94,2944
95,2947
96,2959
97,2968
98,3000
99,3030
